Date,Account_Number,Amount,Description
2024-01-16,WMUF63756060594042,852.91,business
2024-02-15,FLNW20404915209846,1428.95,education
2024-04-27,QYKU50778292700863,1989.54,travel
2024-04-27,NCBR97775409545409,958.59,health_and_fitness
2024-11-30,DNNC42125162080183,153.58,education
2024-10-16,ZRUH96910433175934,1123.81,utilities
2024-10-23,MOQQ14252278568583,1673.58,business
2024-10-10,FIYG73283844664350,619.22,dining
2024-05-11,NGGY18841628575016,1906.73,travel
2024-06-20,OMKI47682073667951,105.15,entertainment
2024-06-09,WNLL18640962702743,196.98,entertainment
2024-03-05,QAJP29359771488395,943.63,health_and_fitness
2024-10-22,KWJX12941661680019,512.61,shopping
2024-02-06,ONGX67380479467935,1732.93,groceries
2024-02-16,NQWL00420012502246,390.68,home_improvement
2024-06-13,JCVL63283501289237,145.27,misc
2024-02-16,SETA62729329528390,1842.69,entertainment
2024-03-14,FVDD96816311792441,611.76,transportation
2024-11-20,KATY99322295627278,1477.15,subscriptions
2024-11-24,CXOH41154273405387,1392.9,education
2024-09-19,CHYP25297371554238,412.78,health_and_fitness
2024-04-05,TDRF64853249562302,31.87,misc
2024-03-27,ZZCJ88800643752360,1213.11,dining
2024-07-26,LICY23500747434634,400.99,health_and_fitness
2024-07-09,HOLF71294940314957,618.64,subscriptions
2024-01-11,KOQS12223966021236,670.35,groceries
2024-07-07,QMBH86893031667787,1923.93,travel
2024-01-29,PYQK89697609212920,802.93,health_and_fitness
2024-09-17,GLWY88756502500879,1436.85,travel
2024-03-28,ZRVV87874100982572,637.15,travel
2024-02-15,XADY15906050195920,1438.6,insurance
2024-06-11,PFXI10400258317211,266.78,home_improvement
2024-04-11,VKIF54109283582856,1034.46,shopping
2024-04-03,FFPQ44774197620978,1464.22,education
2024-02-01,KQTU36134909638828,865.9,groceries
2024-07-24,RIXS27628465436897,1069.24,transportation
2024-03-14,GEED83286682115894,1150.66,donations
2024-04-03,BFOD73892490483877,1669.7,donations
2024-11-28,ASBM61189456782025,203.47,insurance
2024-09-29,QIEM96099536465430,1416.79,dining
2024-07-15,ATBB57356782542702,234.87,dining
2024-11-29,ELST11188918598118,50.24,donations
2024-01-12,KIJE39011166517426,1306.49,groceries
2024-03-01,RQES52951605538033,1241.66,education
2024-05-24,LGXH05907496160208,1755.05,insurance
2024-04-13,XXHG89259420385639,1303.57,utilities
2024-07-25,EVQQ75506487121759,679.41,travel
2024-03-25,QUND30582078668890,1620.73,dining
2024-11-26,FURA55810936602220,410.17,transportation
2024-07-23,DIYP99479003424169,1701.08,groceries
2024-04-23,AVUU73807818548585,1805.68,travel
2024-08-09,TELV87405218990202,1803.95,groceries
2024-06-16,EMNC09843618850131,1041.93,groceries
2024-03-26,CWTD05520186005135,664.89,dining
2024-04-25,OMBW64734612097515,1640.15,utilities
2024-11-23,OBQW79503447623139,900.25,health_and_fitness
2024-02-07,ISTM80146842919071,1174.59,home_improvement
2024-07-05,AEMX92706404556754,450.51,misc
2024-10-22,GYVN28358414096709,1510.82,insurance
2024-01-02,MHQZ15013732600655,1211.56,travel
2024-06-29,TLLQ93102803268361,1590.84,transportation
2024-08-26,YUZU62724064838267,1976.41,dining
2024-06-08,IVQJ08830565802341,1699.38,education
2024-05-11,ZJUN96261616071284,262.21,entertainment
2024-09-02,TBQS77496919781827,1372.25,entertainment
2024-02-05,ONSQ52056499291426,1544.07,groceries
2024-08-02,NGYM85029406393026,765.15,insurance
2024-10-22,OASU60010704149258,1521.53,dining
2024-02-20,UVAG60663986519654,431.49,entertainment
2024-01-10,PUWI72940130623767,806.45,groceries
2024-07-10,UZTG16348213801372,774.97,health_and_fitness
2024-08-14,DKWW68743375370359,1590.89,travel
2024-01-05,DNNM99210214740793,468.96,education
2024-10-28,RTMY56139075960215,1913.29,donations
2024-09-12,UMWL97541919402774,1698.44,travel
2024-05-19,NLNN41010838613835,866.12,home_improvement
2024-07-13,QFDF90490317982826,1818.2,misc
2024-10-27,REXL63390710150506,1318.15,health_and_fitness
2024-08-12,HOJK85541229613701,218.29,home_improvement
2024-02-15,KQVW80410213641984,1497.0,shopping
2024-11-18,GWMP39029466919086,1025.48,education
2024-11-12,OQSO80450777435206,951.72,education
2024-05-15,VYTR39866618722315,585.61,misc
2024-10-16,CMLL98501494141310,1041.18,groceries
2024-06-24,WGJE15533103927552,693.5,health_and_fitness
2024-03-03,XRZO75328372702246,1192.28,groceries
2024-11-17,EGRR32815628844244,1308.97,insurance
2024-11-26,MGUF19943369182658,1457.42,education
2024-02-22,UJIN87112678487698,481.09,travel
2024-06-21,ZDFW57942279414449,1237.11,health_and_fitness
2024-11-18,KVNJ94160386645640,1495.95,health_and_fitness
2024-05-13,VORF91548402814415,1588.03,insurance
2024-10-14,KNSR92478934306235,1452.89,misc
2024-06-09,AFYB14469429777106,868.19,transportation
2024-05-31,LYCC15576945667111,990.75,health_and_fitness
2024-10-10,UOBF56680299000005,766.66,subscriptions
2024-08-23,QYOY99995791382915,335.57,groceries
2024-04-22,XVBT79750388520054,188.78,home_improvement
2024-05-10,FQGL40351030067317,753.86,education
2024-08-02,AWCF97861092110007,1240.39,entertainment
2024-03-22,LLEA79908995009635,231.24,education
2024-07-20,TOWS26062287087010,1937.08,transportation
2024-10-12,CWXJ48348826873046,325.19,subscriptions
2024-03-19,MHTM54808699670795,546.49,travel
2024-04-15,IXCI39839593715436,479.71,health_and_fitness
2024-01-30,WKHO54491790573777,679.41,shopping
2024-12-02,BFNU80809463930924,556.91,subscriptions
2024-08-13,ZMLP11309822755192,1832.97,health_and_fitness
2024-10-15,QUZP05601619170119,73.26,misc
2024-05-20,NJKY26236696271110,1090.58,dining
2024-05-06,YPTK10422598441667,112.09,groceries
2024-03-23,VSIJ44940519754838,1098.72,utilities
2024-02-17,BTEE52300173183645,1598.88,entertainment
2024-06-17,SPKA73415486337081,1036.63,dining
2024-10-20,WQGE70500085266744,1961.22,entertainment
2024-04-26,PUYM47668235017979,592.97,entertainment
2024-08-18,ZAKR55674035476478,1034.04,donations
2024-08-30,HXXR25822754913141,493.55,home_improvement
2024-01-17,MWET11877465357577,1902.52,groceries
2024-04-09,TVVQ44532230981049,1151.87,health_and_fitness
2024-06-15,AMIS71205686541031,1189.88,transportation
2023-12-28,IOIG11397854303584,1825.36,subscriptions
2024-06-30,KFZX03272732433692,1888.24,insurance
2024-03-09,SNRP17431546512869,1621.82,subscriptions
2024-10-23,IHPL40019990286774,1490.2,business
2024-11-21,QMVT90559724954017,1664.04,education
2024-11-12,IDVM19611423098695,906.17,donations
2024-02-19,VRON74544659232179,751.31,dining
2024-10-09,LTJE43156803272849,775.05,health_and_fitness
2024-11-15,YWGG20100851856980,1204.15,insurance
2024-01-26,CSPR25089602149948,1585.4,misc
2023-12-22,MYMZ52160009304410,1051.33,subscriptions
2024-03-17,TQNJ53625933669612,120.79,health_and_fitness
2024-07-13,PNDE69190357826535,1628.03,subscriptions
2024-03-17,XFOQ36168319109003,1432.76,utilities
2024-12-16,GTTF61003340900694,1415.76,insurance
2024-04-18,JYJL72940959128850,282.88,misc
2024-07-29,NFLY80880878624804,301.46,subscriptions
2024-06-27,MECS55223438127799,548.96,shopping
2024-12-10,EDFR56458609461081,351.64,utilities
2024-09-17,YVCQ52841675977561,194.85,misc
2024-11-01,SNGP42251301486287,1001.67,utilities
2024-12-03,ZHOS20460722230686,1352.71,dining
2024-02-28,GQNF46666161286113,1317.42,groceries
2024-02-11,ONDL76204314993371,1143.86,education
2024-05-28,YRTC24198289035488,1398.68,entertainment
2024-12-16,GYLS58739901919237,1691.03,travel
2024-03-02,IRJN59652613089870,1061.3,business
2024-11-02,VRRD71198573367144,1668.79,utilities
2023-12-26,NWST31329731796951,186.11,insurance
2024-11-09,PXUW01527930119390,162.58,shopping
2024-01-26,OVDR70421217700471,1331.96,shopping
2024-06-01,COSN56659157735170,293.04,subscriptions
2024-02-24,WUCE32512267709139,1912.59,transportation
2024-08-22,XCRI51241305456820,502.28,education
2024-11-24,IZXP56076154409727,241.2,home_improvement
2024-05-22,FMWN34100291781954,1085.26,business
2024-10-28,GWIU51441825118436,756.43,travel
2024-08-31,EXSA81623475217440,1185.9,subscriptions
2024-09-06,CHHN34162452325334,363.26,shopping
2024-10-14,QYTL16832989294467,498.48,education
2024-09-01,XJQT72496771571475,867.76,donations
2024-02-08,CZNJ50721605002968,1804.23,business
2024-11-08,AXKS35486713301723,386.51,utilities
2024-01-08,IIII71807874195528,1344.54,entertainment
2024-02-17,XLWQ19807570637568,261.31,shopping
2024-10-22,IEXU58354424489307,805.19,health_and_fitness
2024-05-19,KMOU06076390423383,338.37,dining
2024-06-21,JJVD43080017350925,1573.52,shopping
2024-07-05,UROY80224403305672,337.77,dining
2024-09-22,JBQX62497511325915,1136.9,groceries
2024-11-09,DDRZ59048583523291,1317.08,travel
2024-04-29,YLFJ44357959053889,658.5,health_and_fitness
2024-03-25,IKST02996540777109,1406.2,home_improvement
2024-05-04,RZNX77581417235125,445.61,transportation
2024-04-24,SCVG87136774514365,453.39,shopping
2024-11-02,NYGM67942910686776,535.36,business
2024-05-28,CGKI81971089032106,1819.11,subscriptions
2024-06-17,AGBM57003612154894,1688.54,utilities
2024-01-26,BOUE88584821338403,195.56,donations
2023-12-22,FMJP05165091395666,1633.84,home_improvement
2024-12-08,UWMR29219358015251,1611.01,misc
2024-08-02,PBHO21814733157181,252.46,shopping
2024-03-21,TFDS21509137568681,902.8,transportation
2024-01-18,KUBG61639352738564,869.35,business
2024-08-14,GBEH08737918874801,1977.58,misc
2024-05-18,THLZ89139677432261,1409.28,dining
2024-12-05,GHEL67489942468889,355.72,utilities
2024-11-12,YXWZ76959002060442,1580.31,donations
2024-09-14,MLIC71567234327573,1647.78,home_improvement
2024-04-06,ZBNG28169685084284,1425.49,utilities
2024-10-22,JYME51458798209572,1343.03,education
2024-02-03,SBAG31460877274230,1482.17,business
2024-07-18,BWYO95382897338407,1148.28,dining
2023-12-22,PNCI19308978683476,135.71,shopping
2024-08-29,EQQW12660604041578,1803.87,health_and_fitness
2024-07-19,DPPV92477344227724,1197.11,transportation
2024-04-13,ZWOV56138725208487,1054.46,donations
2024-11-25,TXLC75879288345335,442.19,misc
